id,imdb,themes,title
1,tt0076759,Main Title (John Williams); Cantina Band (John Williams),Star Wars
2,tt0073195,Main Title (John Williams),Jaws
3,tt0120737,Concerning Hobbits (Howard Shore); The Bridge of Khazad Dum (Howard Shore),The Lord of the Rings: The Fellowship of the Ring
4,tt0325980,He's a pirate (Klaus Badelt),Pirates of the Caribbean: The Curse of the Black Pearl
5,tt1375666,Dream Within a Dream (Hans Zimmer),Inception
6,tt0241527,Hedwig's Theme (John Williams),Harry Potter and the Sorcerer's Stone
7,tt0107290,Theme From Jurassic Park (John Williams),Jurassic Park
8,tt0120338,My Heart Will Go On (James Horner),Titanic
9,tt3783958,Another Day of Sun (Justin Hurwitz),La La Land
10,tt0172495,Elysium (Hans Zimmer),Gladiator
11,tt0266697,Woo Hoo (Robert Fitzgerald Diggs),Kill Bill: Vol. 1
12,tt0110912,You Never Can Tell (Chuck Berry),Pulp Fiction
13,tt0795421,"Mamma Mia (Benny Andersson, Björn Ulvaeus)",Mamma Mia!
14,tt0087332,"Ghostbusters (Ray Parker, Jr.)",Ghostbusters
15,tt0088763,Back To The Future (Alan Silvestri),Back to the Future
16,tt0903624,Misty Mountains (Howard Shore),The Hobbit: An Unexpected Journey
17,tt0103855,I Will Always Love You (Dolly Parton),The Bodyguard
18,tt0088847,Don't You (Forget About Me) (Keith Forsey),The Breakfast Club
19,tt0087277,Footloose (Kenny Loggins),Footloose
20,tt0077631,"Summer Nights (Jim Jacobs, Warren Casey); Grease (Barry Gibb); You're The One That I Want (John Farrar); Greased Lightnin' (Jim Jacobs, Warren Casey)",Grease 
21,tt0356150,Scotty Doesn't Know (Jason Adams),EuroTrip
22,tt6105098,Circle of Life (Elton John); I Just Can't Wait to Be King (Elton John); Hakuna Matata (Elton John),The Lion King
23,tt0120762,"I'll Make a Man Out of You (Matthew Wilder, David Zippel)",Mulan
24,tt2294629,"Let It Go (Robert Lopez, Kristen Anderson-Lopez); Do You Want to Build a Snowman (Robert Lopez, Kristen Anderson-Lopez); Love Is an Open Door (Robert Lopez, Kristen Anderson-Lopez)",Frozen
25,tt0848228,The Avengers (Alan Silvestri),The Avengers
26,tt0055928,James Bond Theme (Monty Norman),James Bond: Dr. No
27,tt0383216,Pink Panther Theme (Henry Mancini),The Pink Panther
28,tt0097757,Under the Sea (Alan Menken),The Little Mermaid
29,tt0103639,A Whole New World (Alan Menken),Aladdin
30,tt0119282,Zero to Hero (Alan Menken); Go the Distance (Alan Menken),Hercules
31,tt0114709,You've Got a Friend in Me (Randy Newman),Toy Story
32,tt3521164,You're Welcome (Lin-Manuel Miranda); Where You Are (Lin-Manuel Miranda); How Far I'll Go (Lin-Manuel Miranda); Shiny (Lin-Manuel Miranda),Moana
33,tt0082971,Raiders March (John Williams),Raiders of the Lost Ark
34,tt0078346,Main Title (John Williams),Superman
35,tt0083866,Flying Theme (John Williams),E.T. the Extra-Terrestrial
36,tt0108052,Main Theme (John Williams),Schindler's List
37,tt0109830,I'm Forrest... Forrest Gump (Alan Silvestri),Forrest Gump
38,tt0061852,The Bare Necessities (Terry Gilkyson),The Jungle Book
39,tt0080684,The Imperial March (John Williams),Star Wars: Episode V - Empire Strikes Back
